JADWAL PERKULIAHAN SEMESTER GENAP PRODI TEKNOLOGI INFORMASI UMY 2025/2026,,,,,,,,,,,,,
,,,Dasar Jaringan,Aplikasi Multimedia,,,Pengembangan Desain Web,Keamanan Siber,,,P. Pusat Data,Routing dan Keamanan Jaringan,Administrasi Basis Data
,,,Dosen: NA,Dosen : RG,,,Dosen : AS,Dosen : CD,,,Dosen : DP,Dosen : EP,Dosen : AK
,15.00 - 15.30,Istirahat/Ashar/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 6,15.30 - 16.20,,TI205 ( B ),TIUX03 ( A ),,,TI401 ( A ),TI404 ( F ),,,TIDA05 ( A ),TI403 ( D ),TI204 ( E )
,,,Dasar Jaringan,Aplikasi Multimedia,,,Pengembangan Desain Web,Keamanan Siber,,,P. Pusat Data,Routing dan Keamanan Jaringan,Administrasi Basis Data
,,,Dosen: NA,Dosen : RG,,,Dosen : AS,Dosen : CD,,,Dosen : DP,Dosen : EP,Dosen : AK
,16.20 - 17.10,,,,,,,,,,,TINE02 ( A ),TI204 ( D )
,,,,,,,,,,,,CyberOps,Administrasi Basis Data
,,,,,,,,,,,,Dosen : EP,Dosen : AK
,17.10 - 18.00,,,,,,,,,,,TINE02 ( A ),TI204 ( D )
,,,,,,,,,,,,CyberOps,Administrasi Basis Data
,,,,,,,,,,,,Dosen : EP,Dosen : AK
17.45 - 18.30,,Istirahat/Maghrib/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 7,18.30 - 19.20,,,,,,,,,,,TINE02 ( A ),TI204 ( D )
,,,,,,,,,,,,CyberOps,Administrasi Basis Data
,,,,,,,,,,,,Dosen : EP,Dosen : AK
,19.20 - 20.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,20.10 - 21.00,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SESI,JAM,KAMIS,,,,,,,,,,,
,,RKBesar/F6.001,F6.002,F6.003,F6.004,F6.101,F6.102,F6.103,F6.202,F6.203,F4.001,F4.002,F4.003
Sesi 1,07.00 - 07.50,,,TI401 ( D ),,,,,,,,,
,,,,Pengembangan Desain Web,,,,,,,,,
,,,,Dosen : AS,,,,,,,,,
,07.50 - 08.40,,,TI401 ( D ),,,,,,,,,
,,,,Pengembangan Desain Web,,,,,,,,,
,,,,Dosen : AS,,,,,,,,,
,08.40 - 08.50,Pergantian Sesi,,,,,,,,,,,
Sesi 2,08.50 - 09.40,,TI202 ( C ),TI401 ( D ),TI402 ( A ),,,,TW,,TIUX05 ( B ),TI403 ( E),TIDA02 ( A )
,,,Algoritma dan Struktur Data,Pengembangan Desain Web,Pengembangan Aplikasi Basis Data,,,,,,Evaluasi Pengguna,Routing dan Keamanan Jaringan,Kecerdasan Buatan Terapan
,,,Dosen : HS,Dosen : AS,Dosen : AK,,,,,,Dosen : RG/WS,Dosen : EP,Dosen : SR/CO
,09.40 - 10.30,,TI202 ( C ),TI401 ( B ),TI402 ( A ),,,,TW,,TIUX05 ( B ),TI403 ( E),TIDA02 ( A )
,,,Algoritma dan Struktur Data,Pengembangan Desain Web,Pengembangan Aplikasi Basis Data,,,,,,Evaluasi Pengguna,Routing dan Keamanan Jaringan,Kecerdasan Buatan Terapan
,,,Dosen : HS,Dosen : AS,Dosen : AK,,,,,,Dosen : RG/WS,Dosen : EP,Dosen : SR/CO
,10.30 - 10.40,Pergantian Sesi,,,,,,,,,,,
Sesi 3,10.40 - 11.30,,TI202 ( C ),TI401 ( B ),TI402 ( A ),,,,TI208 ( A ),,TIUX05 ( B ),TI403 ( E),TIDA02 ( A )
,,,Algoritma dan Struktur Data,Pengembangan Desain Web,Pengembangan Aplikasi Basis Data,,,,Bahasa Inggris Menengah,,Evaluasi Pengguna,Routing dan Keamanan Jaringan,Kecerdasan Buatan Terapan
,,,Dosen : HS,Dosen : AS,Dosen : AK,,,,Dosen : TIM,,Dosen : RG/WS,Dosen : EP,Dosen : SR/CO
11.30 - 12.20,,Istirahat/Dzuhur/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 4,12.10 - 13.10,,,TI401 ( B ),,,,,TI208 ( A ),,,,
,,,,Pengembangan Desain Web,,,,,Bahasa Inggris Menengah,,,,
,,,,Dosen : AS,,,,,Dosen : TIM,,,,
,13.10 - 13.20,Pergantian sesi,,,,,,,,,,,
Sesi 5,13.20 - 14.10,,,,TI402 ( B ),TI406 ( C ),,,TI208 ( B ),,TINE04 ( A ),TI202 ( A ),TI205 ( D )
,,,,,Pengembangan Aplikasi Basis Data,Pengujian dan Penjaminan Mutu Perangkat Lunak,,,Bahasa Inggris Menengah,,Programmable Infrastructure,Algoritma dan Struktur Data,Dasar Jaringan
,,,,,Dosen : AK,Dosen : CO,,,Dosen : TIM,,Dosen : EP,Dosen : HS,Dosen: NA
,14.10 - 15.00,,,,TI402 ( B ),TI406 ( C ),,,TI208 ( B ),,TINE04 ( A ),TI202 ( A ),TI205 ( D )
,,,,,Pengembangan Aplikasi Basis Data,Pengujian dan Penjaminan Mutu Perangkat Lunak,,,Bahasa Inggris Menengah,,Programmable Infrastructure,Algoritma dan Struktur Data,Dasar Jaringan
,,,,,Dosen : AK,Dosen : CO,,,Dosen : TIM,,Dosen : EP,Dosen : HS,Dosen: NA
,15.00 - 15.30,Istirahat/Ashar/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 6,15.30 - 16.20,,,,TI402 ( B ),TI406 ( C ),,,,,TINE04 ( A ),TI202 ( A ),TI205 ( D )
,,,,,Pengembangan Aplikasi Basis Data,Pengujian dan Penjaminan Mutu Perangkat Lunak,,,,,Programmable Infrastructure,Algoritma dan Struktur Data,Dasar Jaringan
,,,,,Dosen : AK,Dosen : CO,,,,,Dosen : EP,Dosen : HS,Dosen: NA
,16.20 - 17.10,,,,TI402 ( E ),,,,,,TINE03 ( A ),TI202 ( B ),TI205 ( A )
,,,,,Pengembangan Aplikasi Basis Data,,,,,,Core Network,Algoritma dan Struktur Data,Dasar Jaringan
,,,,,Dosen : AK,,,,,,Dosen : EP,Dosen : HS,Dosen : NA
,17.10 - 18.00,,,,TI402 ( E ),,,,,,TINE03 ( A ),TI202 ( B ),TI205 ( A )
,,,,,Pengembangan Aplikasi Basis Data,,,,,,Core Network,Algoritma dan Struktur Data,Dasar Jaringan
,,,,,Dosen : AK,,,,,,Dosen : EP,Dosen : HS,Dosen : NA
17.45 - 18.30,,Istirahat/Maghrib/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 7,18.30 - 19.20,,,,TI402 ( E ),,,,,,TINE03 ( A ),TI202 ( B ),TI205 ( A )
,,,,,Pengembangan Aplikasi Basis Data,,,,,,Core Network,Algoritma dan Struktur Data,Dasar Jaringan
,,,,,Dosen : AK,,,,,,Dosen : EP,Dosen : HS,Dosen : NA
,19.20 - 20.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,20.10 - 21.00,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SESI,JAM,JUMAT,,,,,,,,,,,
,,RKBesar/F6.001,F6.002,F6.003,F6.004,F6.101,F6.102,F6.103,F6.202,F6.203,F4.001,F4.002,F4.003
Sesi 1,07.00 - 07.50,,,,,,,TIPR03 ( C ),,,,,
,,,,,,,,Pemrograman Web Framework,,,,,
,,,,,,,,Dosen : AS,,,,,
,07.50 - 08.40,,,,,,,TIPR03 ( C ),,,,,
,,,,,,,,Pemrograman Web Framework,,,,,
,,,,,,,,Dosen : AS,,,,,
,08.40 - 08.50,Pergantian Sesi,,,,,,,,,,,
Sesi 2,08.50 - 09.40,,TI402 ( D ),AS,,TI406 ( B ),,TIPR03 ( C ),,,,,TIPR04 ( A )
,,,Pengembangan Aplikasi Basis Data,,,Pengujian dan Penjaminan Mutu Perangkat Lunak,,Pemrograman Web Framework,,,,,Pengembangan Aplikasi Mobile Lanjut
,,,Dosen : AK,,,Dosen : CO,,Dosen : AS,,,,,Dosen : HS
,09.40 - 10.30,,TI402 ( D ),AS,,TI406 ( B ),,,,,,,TIPR04 ( A )
,,,Pengembangan Aplikasi Basis Data,,,Pengujian dan Penjaminan Mutu Perangkat Lunak,,,,,,,Pengembangan Aplikasi Mobile Lanjut
,,,Dosen : AK,,,Dosen : CO,,,,,,,Dosen : HS
,10.30 - 10.40,Pergantian Sesi,,,,,,,,,,,
Sesi 3,10.40 - 11.30,,TI402 ( D ),AS,,TI406 ( B ),,,,,,,TIPR04 ( A )
,,,Pengembangan Aplikasi Basis Data,,,Pengujian dan Penjaminan Mutu Perangkat Lunak,,,,,,,Pengembangan Aplikasi Mobile Lanjut
,,,Dosen : AK,,,Dosen : CO,,,,,,,Dosen : HS
11.30 - 12.20,,Istirahat/Dzuhur/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 4,12.10 - 13.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,13.10 - 13.20,Pergantian sesi,,,,,,,,,,,
Sesi 5,13.20 - 14.10,,TI402 ( C ),,,,,TI404 ( E ),TW,,,TIUX04 ( A ),TI202 ( D )
,,,Pengembangan Aplikasi Basis Data,,,,,Keamanan Siber,,,,Desain Game,Algoritma dan Struktur Data
,,,Dosen : AK,,,,,Dosen : CD,,,,Dosen : RG,Dosen : HS
,14.10 - 15.00,,TI402 ( C ),,,,,TI404 ( E ),TW,,,TIUX04 ( A ),TI202 ( D )
,,,Pengembangan Aplikasi Basis Data,,,,,Keamanan Siber,,,,Desain Game,Algoritma dan Struktur Data
,,,Dosen : AK,,,,,Dosen : CD,,,,Dosen : RG,Dosen : HS
,15.00 - 15.30,Istirahat/Ashar/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 6,15.30 - 16.20,,TI402 ( C ),NA,,,,TI404 ( E ),,,,TIUX04 ( A ),TI202 ( D )
,,,Pengembangan Aplikasi Basis Data,,,,,Keamanan Siber,,,,Desain Game,Algoritma dan Struktur Data
,,,Dosen : AK,,,,,Dosen : CD,,,,Dosen : RG,Dosen : HS
,16.20 - 17.10,,,NA,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,17.10 - 18.00,,,NA,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
17.45 - 18.30,,Istirahat/Maghrib/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 7,18.30 - 19.20,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19.20 - 20.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,20.10 - 21.00,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SESI,JAM,SABTU,,,,,,,,,,,
,,RKBesar/F6.001,F6.002,F6.003,F6.004,F6.101,F6.102,F6.103,F6.202,F6.203,F4.001,F4.002,F4.003
Sesi 1,07.00 - 07.50,,,,,,TI605 ( B ),,,,TIPR03 ( A ),,
,,,,,,,Persiapan Toefl,,,,Pemrograman Web Framework,,
,,,,,,,Dosen : TIM,,,,Dosen : AS,,
,07.50 - 08.40,,,,,,TI605 ( B ),,,,TIPR03 ( A ),,
,,,,,,,Persiapan Toefl,,,,Pemrograman Web Framework,,
,,,,,,,Dosen : TIM,,,,Dosen : AS,,
,08.40 - 08.50,Pergantian Sesi,,,,,,,,,,,
Sesi 2,08.50 - 09.40,,,TI208 ( E ),TI408 ( B ),TI408 ( A ),TI605 ( D ),,TI408 ( D ),,TIPR03 ( A ),,
,,,,Bahasa Inggris Menengah,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Persiapan Toefl,,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,,Pemrograman Web Framework,,
,,,,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,,Dosen : TIM,,Dosen : AS,,
,09.40 - 10.30,,TI605 ( C ),TI208 ( E ),TI408 ( B ),TI408 ( A ),TI605 ( D ),TI605 ( E ),TI408 ( D ),,TIPR03 ( B ),,
,,,Persiapan Toefl,Bahasa Inggris Menengah,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Persiapan Toefl,Persiapan Toefl,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,,Pemrograman Web Framework,,
,,,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,,Dosen : AS,,
,10.30 - 10.40,Pergantian Sesi,,,,,,,,,,,
Sesi 3,10.40 - 11.30,,TI605 ( C ),TI208 ( D ),TI408 ( F ),TI408 ( E ),,TI605 ( E ),TI408 ( C ),,TIPR03 ( B ),,
,,,Persiapan Toefl,Bahasa Inggris Menengah,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,,Persiapan Toefl,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,,Pemrograman Web Framework,,
,,,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,,Dosen : TIM,Dosen : TIM,,Dosen : AS,,
11.30 - 12.20,,Istirahat/Dzuhur/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 4,12.10 - 13.10,,TI605 ( A ),TI208 ( D ),TI408 ( F ),TI408 ( E ),,,TI408 ( C ),,TIPR03 ( B ),,
,,,Persiapan Toefl,Bahasa Inggris Menengah,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,,,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,,Pemrograman Web Framework,,
,,,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,,,Dosen : TIM,,Dosen : AS,,
,13.10 - 13.20,Pergantian sesi,,,,,,,,,,,
Sesi 5,13.20 - 14.10,,TI605 ( A ),,,,,,,,,,
,,,Persiapan Toefl,,,,,,,,,,
,,,Dosen : TIM,,,,,,,,,,
,14.10 - 15.00,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,15.00 - 15.30,Istirahat/Ashar/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 6,15.30 - 16.20,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,16.20 - 17.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,17.10 - 18.00,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
17.45 - 18.30,,Istirahat/Maghrib/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 7,18.30 - 19.20,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19.20 - 20.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,20.10 - 21.00,,,,,,,,,,,,